0 , 45601
1 the 42977
2 . 33921
3 and 21666
4 to 17908
5 '' 17175
6 of 16441
7 `` 15324
8 a 13886
9 in 9676
10 i 9575
11 he 8254
12 it 8163
13 was 8017
14 that 7484
15 you 7061
16 his 5366
17 for 5119
18 as 4897
19 but 4705
20 had 4475
21 is 4475
22 they 4450
23 with 4152
24 's 3841
25 on 3744
26 we 3599
27 ? 3528
28 not 3511
29 ! 3429
30 at 3423
31 be 3376
32 her 3290
33 this 3179
34 all 3120
35 so 3071
36 she 2995
37 n't 2887
38 said 2718
39 do 2656
40 have 2649
41 were 2635
42 from 2613
43 one 2567
44 tom 2487
45 him 2357
46 my 2264
47 there 2260
48 by 2233
49 them 2214
50 no 2214
51 if 2144
52 -- 2122
53 are 2117
54 ; 2060
55 me 2008
56 or 1989
57 then 1889
58 when 1861
59 what 1808
60 out 1728
61 which 1723
62 could 1710
63 would 1684
64 who 1660
65 an 1624
66 will 1553
67 their 1553
68 up 1550
69 now 1497
70 can 1486
71 your 1385
72 been 1364
73 did 1358
74 some 1254
75 get 1253
76 mr. 1250
77 more 1227
78 into 1226
79 'll 1226
80 man 1207
81 little 1191
82 well 1131
83 us 1121
84 about 1121
85 any 1116
86 : 1107
87 over 1106
88 see 1105
89 asked 1092
90 time 1066
91 where 1056
92 go 1041
93 our 1030
94 way 1005
95 king 1000
96 other 992
97 very 988
98 here 974
99 know 973
100 made 945
101 good 935
102 than 919
103 like 917
104 how 907
105 back 904
106 after 902
107 before 898
108 has 894
109 down 875
110 'm 866
111 just 863
112 only 839
113 must 835
114 much 829
115 ozma 824
116 dorothy 794
117 came 793
118 again 790
119 oz 789
120 ' 781
121 come 764
122 away 758
123 make 755
124 may 745
125 upon 744
126 great 709
127 think 706
128 girl 704
129 while 703
130 through 683
131 going 672
132 its 657
133 two 656
134 cried 633
135 never 633
136 went 630
137 magic 629
138 once 619
139 first 619
140 right 618
141 people 610
142 scarecrow 609
143 boy 604
144 replied 601
145 tin 598
146 why 577
147 take 577
148 head 572
149 let 569
150 big 567
151 around 565
152 long 559
153 've 559
154 found 551
155 am 549
156 got 548
157 find 547
158 even 547
159 place 546
160 too 545
161 these 544
162 country 541
163 swift 539
164 three 536
165 might 530
166 damon 527
167 work 527
168 such 526
169 water 509
170 looked 509
171 young 509
172 many 504
173 new 501
174 until 500
175 still 493
176 another 488
177 being 486
178 're 471
179 soon 469
180 thought 468
181 eyes 467
182 trot 466
183 because 466
184 off 455
185 ca 454
186 city 450
187 look 446
188 old 442
189 tell 438
190 small 436
191 those 436
192 day 435
193 seemed 433
194 house 432
195 shaggy 428
196 saw 425
197 sure 424
198 ojo 420
199 answered 419
200 home 417
201 land 417
202 father 415
203 began 414
204 air 413
205 inventor 407
206 knew 407
207 own 403
208 ever 402
209 wizard 401
210 want 399
211 enough 399
212 room 398
213 say 395
214 also 393
215 yes 391
216 turned 390
217 nothing 390
218 every 389
219 friends 388
220 better 387
221 give 385
222 side 377
223 voice 377
224 queen 377
225 far 375
226 took 374
227 left 374
228 etext 373
229 yet 370
230 most 369
231 course 369
232 exclaimed 368
233 oh 368
234 project 367
235 something 366
236 men 363
237 himself 357
238 andy 356
239 mr 356
240 along 355
241 without 355
242 things 349
243 next 349
244 last 348
245 under 348
246 quite 347
247 ned 346
248 thing 345
249 world 343
250 betsy 340
251 'd 336
252 shall 336
253 toward 335
254 door 332
255 should 330
256 sharp 329
257 hand 326
258 ) 324
259 part 323
260 ( 323
261 told 322
262 cap'n 322
263 face 318
264 put 316
265 inga 314
266 called 314
267 night 314
268 bill 313
269 does 310
270 anything 310
271 though 310
272 few 309
273 scraps 308
274 stood 307
275 several 306
276 moment 305
277 glinda 303
278 heard 297
279 rinkitink 297
280 keep 296
281 seen 296
282 help 296
283 perhaps 295
284 others 295
285 boat 294
286 island 293
287 remarked 289
288 lost 288
289 declared 284
290 both 284
291 chapter 280
292 captain 279
293 try 279
294 life 277
295 however 277
296 use 276
297 friend 273
298 same 271
299 set 270
300 feet 267
301 morning 265
302 craft 265
303 together 260
304 woodman 257
305 gold 257
306 almost 257
307 done 256
308 looking 256
309 woot 255
310 bear 253
311 pretty 253
312 submarine 252
313 open 252
314 car 251
315 gone 248
316 need 247
317 high 244
318 always 242
319 inquired 241
320 end 239
321 hard 239
322 suddenly 239
323 ] 238
324 sat 238
325 near 238
326 used 237
327 [ 237
328 years 236
329 gave 236
330 mind 235
331 light 235
332 heart 233
333 wo 232
334 best 232
335 ground 232
336 days 231
337 since 230
338 run 230
339 woman 229
340 money 229
341 able 228
342 body 228
343 returned 228
344 please 226
345 each 226
346 palace 225
347 having 225
348 later 225
349 wish 225
350 patchwork 224
351 against 223
352 means 222
353 among 221
354 indeed 220
355 nor 219
356 behind 219
357 lad 219
358 airship 219
359 matter 217
360 trees 214
361 ork 214
362 mine 212
363 ready 212
364 added 212
365 poor 210
366 polychrome 209
367 coming 209
368 followed 209
369 tried 208
370 started 207
371 hands 207
372 road 206
373 although 206
374 princess 206
375 person 205
376 machine 205
377 dear 203
378 forward 202
379 mrs. 202
380 quickly 202
381 guess 201
382 large 200
383 beautiful 200
384 rather 200
385 live 200
386 bank 200
387 hundred 199
388 really 199
389 eat 198
390 believe 198
391 form 196
392 ruggedo 195
393 women 195
394 power 194
395 fact 193
396 wonder 193
397 afraid 192
398 brought 192
399 gutenberg 191
400 making 190
401 woozy 189
402 path 188
403 finally 188
404 bilbil 188
405 red 188
406 glass 187
407 taken 187
408 brother 186
409 foger 186
410 emerald 186
411 hope 186
412 sight 186
413 kind 186
414 answer 185
415 castle 185
416 getting 185
417 between 184
418 petrofsky 184
419 kaliko 184
420 button-bright 184
421 fell 183
422 wall 183
423 half 182
424 ask 181
425 times 181
426 bless 180
427 royal 180
428 four 180
429 race 180
430 became 179
431 ahead 178
432 magician 178
433 fast 177
434 return 177
435 else 177
436 reached 177
437 green 176
438 journey 175
439 files 174
440 wanted 174
441 story 173
442 passed 173
443 sent 173
444 white 172
445 hold 172
446 hour 172
447 wind 171
448 word 171
449 speed 171
450 girls 171
451 forest 170
452 ran 170
453 party 170
454 agreed 169
455 become 169
456 bad 168
457 seems 168
458 dark 167
459 glad 166
460 talk 166
461 mountain 166
462 love 166
463 start 165
464 fire 165
465 true 164
466 cat 164
467 says 164
468 ought 164
469 trouble 163
470 frogman 160
471 close 159
472 decided 159
473 slowly 159
474 miles 158
475 sort 157
476 motor 157
477 reply 157
478 front 157
479 black 156
480 kept 156
481 idea 155
482 strange 155
483 myself 155
484 name 154
485 beside 153
486 entered 153
487 electric 153
488 book 153
489 blue 152
490 across 152
491 above 152
492 top 152
493 led 152
494 free 152
495 rose 152
496 pink 152
497 case 152
498 powerful 151
499 ruler 151
500 held 150
501 either 150
502 turn 149
503 surface 149
504 mean 149
505 themselves 149
506 hear 149
507 care 148
508 happened 148
509 fear 148
510 wicked 147
511 suppose 147
512 continued 147
513 felt 147
514 words 146
515 suggested 146
516 below 145
517 trying 145
518 escape 144
519 children 144
520 dr. 144
521 weston 144
522 nome 144
523 distance 144
524 aeroplane 143
525 chance 143
526 advance 142
527 question 142
528 whom 142
529 least 141
530 majesty 141
531 rest 139
532 lion 139
533 opened 139
534 ten 138
535 wonderful 138
536 meet 138
537 prince 138
538 understand 138
539 carried 138
540 brains 138
541 soldier 137
542 laughed 137
543 walk 137
544 pingaree 137
545 reach 137
546 wife 137
547 skeezers 137
548 law 136
549 wrong 136
550 order 136
551 beast 136
552 show 136
553 lake 136
554 stopped 136
555 walked 135
556 save 135
557 spoke 134
558 carry 134
559 full 133
560 wait 133
561 taking 133
562 within 133
563 nearly 133
564 caught 132
565 etexts 132
566 fine 132
567 low 132
568 cut 132
569 trip 131
570 jackson 131
571 straw 131
572 cavern 131
573 stop 130
574 send 130
575 filled 130
576 explained 130
577 lay 129
578 herself 129
579 russian 129
580 food 129
581 fairy 129
582 hurt 129
583 ann 129
584 information 128
585 legs 128
586 second 128
587 alone 128
588 given 128
589 possible 127
590 dad 127
591 witch 127
592 manner 127
593 strong 127
594 rope 126
595 earth 126
596 hank 126
597 business 126
598 leave 126
599 goat 126
600 arms 126
601 reason 125
602 officers 125
603 creature 125
604 mule 125
605 'em 124
606 berg 124
607 bed 124
608 except 124
609 certain 124
610 danger 123
611 whether 123
612 therefore 123
613 doing 123
614 longer 123
615 tree 123
616 toto 123
617 sound 122
618 dollars 122
619 thousand 122
620 often 121
621 working 121
622 ugu 120
623 floor 120
624 fight 120
625 met 120
626 call 120
627 tik-tok 120
628 anyone 120
629 strangers 120
630 happy 119
631 short 119
632 sea 119
633 following 119
634 unless 119
635 ship 119
636 lived 119
637 regos 119
638 hours 118
639 important 118
640 table 118
641 mother 118
642 deep 117
643 read 117
644 unc 117
645 queer 117
646 colonel 116
647 straight 116
648 received 116
649 living 115
650 window 114
651 line 114
652 easily 114
653 bottom 113
654 states 113
655 search 113
656 carefully 113
657 army 113
658 sorceress 112
659 dragon 112
660 bright 112
661 outside 112
662 instead 112
663 busy 111
664 less 111
665 stay 111
666 everything 111
667 pon 111
668 disappeared 111
669 monkey 111
670 discovered 111
671 none 111
672 standing 110
673 seem 110
674 throne 110
675 number 110
676 coo-ee-oh 109
677 sorry 109
678 munchkin 109
679 remember 109
680 five 109
681 edge 109
682 cayke 109
683 public 108
684 shed 108
685 picture 108
686 year 108
687 son 108
688 prisoners 108
689 rescue 108
690 bit 107
691 different 107
692 happen 107
693 drew 107
